voltage,current,sound,gas,temp,hum,heading,tahmin,durum
5.0,13.514,1022.0,1023.0,24.4,54.0,235.6822149855933,1,NORMAL
5.0,13.514,1013.0,1023.0,23.8,55.0,290.6144864268899,1,NORMAL
5.0,13.514,1023.0,1023.0,22.4,60.0,229.4708208354952,1,NORMAL
5.0,13.514,1015.0,1023.0,24.1,52.0,227.685126570642,1,NORMAL
5.0,13.514,1023.0,1023.0,22.8,59.0,229.02826366648517,1,NORMAL
5.0,13.514,1022.0,1023.0,23.4,55.0,288.9704078084865,1,NORMAL
5.0,13.514,1023.0,1023.0,22.7,59.0,230.2617861487257,1,NORMAL
5.0,13.514,1013.0,1023.0,23.2,54.0,224.0164780808609,1,NORMAL
5.0,13.514,1023.0,1023.0,23.4,54.0,240.24591012398037,1,NORMAL
5.0,13.514,1022.0,1023.0,22.8,55.0,226.66585065230905,1,NORMAL
5.0,13.514,1013.0,1023.0,22.6,59.0,227.07104823162075,1,NORMAL
5.0,13.514,1023.0,1023.0,22.4,61.0,228.4336303624505,1,NORMAL
5.0,13.514,1014.0,1023.0,24.1,53.0,228.0264152957712,1,NORMAL
5.0,13.514,1010.0,1023.0,24.4,52.0,236.61673425127012,1,NORMAL
5.0,13.514,1023.0,1023.0,22.8,58.0,229.56526238441697,1,NORMAL
5.0,13.514,979.0,1023.0,22.9,54.0,224.1436855643624,1,NORMAL
5.0,13.514,1023.0,1023.0,22.5,60.0,228.14682292603464,1,NORMAL
5.0,13.514,1017.0,1023.0,23.9,53.0,229.0402040184042,1,NORMAL
5.0,13.514,1022.0,1023.0,23.4,54.0,234.44551992712516,1,NORMAL
5.0,13.514,1023.0,1023.0,22.8,59.0,229.2678933002908,1,NORMAL
5.0,13.514,1001.0,1023.0,23.5,52.0,289.6256827147793,-1,ANOMALI
5.0,13.514,1016.0,1023.0,24.4,52.0,235.37995077085952,1,NORMAL
5.0,13.514,1017.0,1023.0,22.6,55.0,226.0968396805605,1,NORMAL
5.0,13.514,1023.0,1023.0,22.1,61.0,228.2636796949691,1,NORMAL
5.0,13.514,1009.0,1023.0,24.2,54.0,236.0432652129692,1,NORMAL
5.0,13.514,1000.0,1023.0,22.7,55.0,227.70294403781472,1,NORMAL
5.0,13.514,1023.0,1023.0,23.5,53.0,238.3005220875283,1,NORMAL
5.0,13.514,1010.0,1023.0,22.7,56.0,228.383480896471,1,NORMAL
5.0,13.514,1023.0,1023.0,22.7,60.0,230.8186716551563,1,NORMAL
5.0,13.514,1023.0,1023.0,22.4,61.0,229.41733610857037,1,NORMAL
5.0,13.514,1023.0,1023.0,22.7,59.0,231.73749187825777,1,NORMAL
5.0,13.514,1013.0,1023.0,22.7,55.0,225.8117427096968,1,NORMAL
5.0,13.514,1001.0,1023.0,22.7,55.0,221.04033417068607,1,NORMAL
5.0,13.514,1023.0,1023.0,22.6,60.0,230.0694201326125,1,NORMAL
5.0,13.514,997.0,1023.0,22.6,60.0,225.8178406275396,1,NORMAL
5.0,13.514,1021.0,597.8683597716464,23.2,54.0,300.41401282226684,-1,ANOMALI
5.0,13.514,1021.0,1023.0,22.7,59.0,228.41658819177133,1,NORMAL
5.0,13.514,1018.0,1023.0,24.1,53.0,227.803044564069,1,NORMAL
5.0,13.514,1012.0,1023.0,24.3,53.0,235.6683709872456,1,NORMAL
5.0,13.514,1017.0,1023.0,24.1,53.0,228.46822925891712,1,NORMAL
5.0,13.514,1007.0,1023.0,22.3,61.0,228.81407483429035,1,NORMAL
5.0,13.514,1010.0,1023.0,23.3,55.0,240.61025328428587,1,NORMAL
5.0,13.514,1023.0,1023.0,22.7,59.0,230.38090099999843,1,NORMAL
5.0,13.514,1023.0,1023.0,22.7,60.0,231.3401917459099,1,NORMAL
5.0,13.514,1009.0,1023.0,23.9,52.0,228.4260351462633,1,NORMAL
5.0,13.514,1023.0,1023.0,22.2,60.0,228.2128155966536,1,NORMAL
5.0,13.514,1023.0,1023.0,22.1,61.0,228.53425063870168,1,NORMAL
5.0,13.514,1007.0,1023.0,24.1,53.0,228.0940580589171,1,NORMAL
5.0,13.514,1015.0,1023.0,22.7,55.0,221.04033417068607,1,NORMAL
5.0,13.514,1023.0,1023.0,22.6,60.0,230.724462849045,1,NORMAL
5.0,13.514,1023.0,1023.0,23.5,52.0,289.1960481691083,1,NORMAL
5.0,13.514,1017.0,1023.0,24.1,52.0,87.41776688637185,-1,ANOMALI
5.0,13.514,995.0,1023.0,23.3,55.0,240.93070090778184,1,NORMAL
5.0,13.514,1020.0,1023.0,22.2,62.0,228.3853826506921,1,NORMAL
5.0,13.514,1010.0,1023.0,22.6,60.0,225.0862887593305,1,NORMAL
5.0,13.514,1014.0,1023.0,23.7,55.0,222.4516609164983,1,NORMAL
5.0,13.514,1023.0,1023.0,22.7,59.0,231.02869184557508,1,NORMAL
5.0,13.514,1023.0,1023.0,23.4,54.0,241.1134182330893,1,NORMAL
5.0,13.514,1023.0,1023.0,22.8,58.0,229.8063572241988,1,NORMAL
5.0,13.514,1023.0,1023.0,22.8,58.0,229.8792737830067,1,NORMAL
5.0,13.514,1014.0,1023.0,24.0,54.0,228.8424531279149,1,NORMAL
5.0,13.514,1023.0,1023.0,22.8,59.0,229.74178975451903,1,NORMAL
5.0,13.514,1015.0,1023.0,24.0,53.0,228.8424531279149,1,NORMAL
5.0,13.514,1013.0,1023.0,22.7,56.0,225.80932892657168,1,NORMAL
5.0,13.514,1021.0,1023.0,23.4,53.0,283.00785824754234,1,NORMAL
5.0,13.514,1016.0,1023.0,22.6,60.0,225.928127314782,1,NORMAL
5.0,13.514,1014.0,1023.0,23.1,53.0,224.75088948484708,1,NORMAL
5.0,13.514,1015.0,1023.0,24.4,52.0,235.06628422775265,1,NORMAL
5.0,13.514,1005.0,1023.0,23.1,53.0,223.9127653579969,1,NORMAL
5.0,13.514,1023.0,1023.0,15.972825804555859,59.0,224.05406805712943,-1,ANOMALI
5.0,13.514,1021.0,1023.0,22.9,54.0,305.6516181123982,1,NORMAL
5.0,13.514,1013.0,1023.0,24.1,53.0,227.71421221612175,1,NORMAL
5.0,13.514,1021.0,1023.0,23.2,55.0,240.5892552135197,1,NORMAL
5.0,13.514,1000.0,1023.0,24.3,52.0,235.73642030241507,1,NORMAL
5.0,13.514,1013.0,1023.0,23.1,53.0,223.9949139947458,1,NORMAL
5.0,13.514,1023.0,1023.0,22.2,62.0,227.4039858119081,1,NORMAL
5.0,13.514,1020.0,1023.0,24.0,53.0,228.4965871227273,1,NORMAL
5.0,13.514,1023.0,1023.0,22.2,61.0,228.19074984138496,1,NORMAL
5.0,13.514,1023.0,1023.0,22.8,58.0,230.3893117599734,1,NORMAL
